Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target Molecules	Mechanistic Network	Novel Genes
PIK3CD	2.832	kinase	Activated	2.601	1.91E-05	"CCL19,CCL3,CCL4,CHAC1,CTLA4,CXCL8,EDEM1,IDO1,IFNG,LTBR"	320 (17)	
LGALS8	2.149	other	Activated	2.236	2.11E-05	"CCL2,CSF2,CXCL1,CXCL8,IL6"	382 (20)	
ULBP1	2.799	transmembrane receptor	Activated	2.236	2.11E-05	"CCL4,IFNG,IFNGR2,IL2RA,TNFRSF9"	323 (13)	
CXCL10	2.574	cytokine	Activated	2.182	3.32E-05	"CD274,CXCL10,IFNG,IL13,IL6,MMP9"	349 (20)	
PLA2G4E	2.033	enzyme	Inhibited	-2	3.51E-05	"IL1B,IL6,KRT6A,S100A9"		
FCER1A	2.098	transmembrane receptor	Activated	2.171	6.81E-05	"CCL2,CCL28,CSF2,IL13,IL6,LAT2"	431 (25)	
PLAT	2.678	peptidase	Activated	2.653	7.07E-05	"CXCL10,IFNG,IL1B,IL6,MMP1,MMP3,MMP9,PLAT,SERPINE1"	350 (20)	
HRH1	2.137	G-protein coupled receptor	Activated	2.2	1.47E-04	"IFNG,IL10,IL13,PTGS2,SELP"	425 (23)	
NFAM1	2.769	transmembrane receptor	Activated	2.219	1.47E-04	"CCL22,CCL4,IL13,IL6,LTA"	77 (5)	
TYR	2.197	enzyme	Activated	2.131	1.47E-04	"CCR1,CSF2,CXCR4,IFNG,TYR"	335 (7)	
MYOCD	2.179	transcription regulator	Activated	2.507	1.83E-04	"ACTC1,ACTN2,ANO1,CCL1,COL11A2,DES,ECM2,FOXF1,IL20,MYOCD,MYOM1,NR4A3,PDX1,PLA2G2A,TBX20,TNNC1,TTN,VCAN"	355 (18)	
RBP4	-2.37	other	Activated	2.383	3.62E-04	"ARG1,CCL2,IL1B,IL6,ITGAX,NLRP3"	437 (22)	
PLA2G2A	2.395	enzyme	Activated	2.233	7.21E-04	"CXCL8,IL6,PPP1R1A,PTGS2,SLC27A1"	331 (18)	
CTSS	2.102	peptidase	Activated	2.621	1.42E-03	"C3,CCL2,CYBB,IFNG,IL1B,IL6,MMP9,PTGS2"	364 (20)	
CHI3L1	3.981	enzyme	Activated	2.166	2.11E-03	"AKAP11,ARG1,CCNB1,CXCL8,DLGAP5,IL1B,KIF18B,MMP9,PTPN6,SERPINE1,TNC"	403 (23)	
CHRM4	-3.705	G-protein coupled receptor	Activated	2	2.40E-03	"CA4,LPL,SP100,TBX1"		
KLK5	-2.43	peptidase	Activated	2	3.92E-03	"IL1B,IL6,S100A8,S100A9"	395 (21)	
IL24	2.776	cytokine	Activated	2	5.95E-03	"CCL2,CXCL8,HBEGF,IFNG,IL10,IL24,PTGS2"	297 (16)	
ITK	2.033	kinase	Activated	2.743	8.32E-03	"CXCL8,FCER1G,GZMB,IFNG,IL10,IL13,LAT2,MYO1F,SLC2A1"	370 (22)	
MMP1	2.975	peptidase	Activated	2.06	1.34E-02	"CXCL8,MMP1,MMP9,MYOCD,NTRK3,PTGS2,SERPINE1"		
